gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
FNBP4,0.7077,0.734,65,0.9646,0.8376,-0.0263,246
TRMT6,0.8382,0.7335,136,0.9645,0.9415,0.1048,247
BIRC6,0.7094,0.733,117,0.9643,0.84,-0.0236,248
ZNF207,0.77,0.7328,100,0.9642,0.8862,0.0372,249
SCAF4,0.7973,0.732,74,0.964,0.9069,0.0653,250
FCGR1A,0.3692,0.7315,195,0.9639,0.5207,-0.3623,251
PRPF39,0.3402,0.7312,97,0.9638,0.4908,-0.391,252
SCAF8,0.5217,0.7312,46,0.9636,0.6689,-0.2094,253
SRSF7,0.7647,0.7307,119,0.9635,0.8818,0.034,254
EP300,0.8525,0.7292,61,0.9633,0.9512,0.1232,255
CDC40,0.7391,0.7292,46,0.9632,0.8622,0.01,256
CHD1,0.954,0.7288,87,0.963,0.9955,0.2253,257
PRPF4,0.7857,0.7287,56,0.9629,0.8995,0.0571,258
PWP1,0.8627,0.7283,102,0.9627,0.9571,0.1344,259
RFC1,0.6866,0.7283,67,0.9626,0.8193,-0.0417,260
PHAX,0.835,0.7275,103,0.9625,0.9383,0.1075,261
POLR2B,0.6835,0.7268,79,0.9623,0.8152,-0.0432,262
IMP4,0.7549,0.7267,102,0.9622,0.8741,0.0282,263
EIF3A,0.7656,0.726,64,0.962,0.8833,0.0396,264
PNISR,0.6087,0.726,46,0.9619,0.7486,-0.1173,265
SYF2,0.5806,0.7253,62,0.9617,0.722,-0.1447,266
RSRC2,0.6186,0.7248,97,0.9616,0.7572,-0.1062,267
NCOA5,0.7755,0.7246,147,0.9614,0.8918,0.0509,268
INTS7,0.8098,0.7246,184,0.9613,0.9173,0.0852,269
PPIL4,0.6458,0.7245,48,0.9612,0.783,-0.0787,270
SYNCRIP,0.8462,0.7244,52,0.961,0.9472,0.1218,271
OSBP,0.4615,0.7244,78,0.9609,0.6146,-0.2629,272
SDE2,0.6066,0.7244,183,0.9607,0.7468,-0.1178,273
RBMXL1,0.339,0.7244,59,0.9606,0.489,-0.3854,274
POLR3A,0.6176,0.7242,68,0.9604,0.7566,-0.1065,275
GTF2H1,0.7833,0.7226,60,0.9603,0.8976,0.0607,276
ING3,0.3431,0.7225,204,0.9602,0.4932,-0.3794,277
ARID2,0.7748,0.7221,111,0.96,0.8909,0.0526,278
GTF2A1,0.6076,0.7221,79,0.9599,0.7476,-0.1145,279
DSN1,0.7368,0.7217,152,0.9597,0.8606,0.0152,280
SMG7,0.911,0.7212,191,0.9596,0.9822,0.1898,281
DDB1,0.5432,0.721,81,0.9594,0.6892,-0.1778,282
PLRG1,0.76,0.7196,50,0.9593,0.8781,0.0404,283
NUP88,0.8049,0.7193,41,0.9591,0.9116,0.0855,284
LENG8,0.5368,0.7191,95,0.959,0.6834,-0.1823,285
SAP130,0.381,0.719,105,0.9589,0.5318,-0.3381,286
GPATCH8,0.9358,0.719,109,0.9587,0.9912,0.2168,287
GPATCH1,0.75,0.719,132,0.9586,0.8707,0.031,288
PSMC2,0.7877,0.7189,212,0.9584,0.901,0.0689,289
PTCD3,0.2101,0.7188,119,0.9583,0.3197,-0.5087,290
KIN,0.8095,0.7181,84,0.9581,0.9169,0.0914,291
RPRD2,0.7766,0.7178,197,0.958,0.8929,0.0588,292
EIF4G1,0.8613,0.7172,173,0.9578,0.956,0.1441,293
RPL8,0.3393,0.7172,168,0.9577,0.4895,-0.3779,294
RPAP2,0.8246,0.716,57,0.9576,0.9293,0.1086,295
ZC3H15,0.5701,0.7158,107,0.9574,0.7137,-0.1457,296
ERCC3,0.8113,0.7158,106,0.9573,0.9186,0.0956,297
DDX56,0.8879,0.7157,223,0.9571,0.9724,0.1722,298
POLR1C,0.7037,0.7155,108,0.957,0.8338,-0.0118,299
SRP72,0.7342,0.715,79,0.9568,0.8589,0.0192,300
RFC3,0.8182,0.715,55,0.9567,0.924,0.1032,301
CHMP4B,0.8373,0.7144,166,0.9565,0.9407,0.123,302
DNMT1,0.8675,0.7135,83,0.9564,0.9605,0.154,303
SEC61A1,0.7131,0.7127,122,0.9563,0.8435,0.0004,304
SF3B4,0.6308,0.7126,195,0.9561,0.7682,-0.0818,305
DDX49,0.7579,0.7125,95,0.956,0.8771,0.0454,306
SMC6,0.7217,0.7123,115,0.9558,0.8494,0.0095,307
TAF6,0.3864,0.712,220,0.9557,0.5386,-0.3257,308
NUP98,0.8421,0.7119,57,0.9555,0.9446,0.1302,309
HSPA9,0.3009,0.7119,113,0.9554,0.447,-0.411,310
KMT2A,0.5616,0.7117,73,0.9552,0.7067,-0.1501,311
PRRC2A,0.81,0.711,100,0.9551,0.9177,0.099,312
PDPK1,0.398,0.7107,98,0.955,0.5492,-0.3128,313
NOM1,0.809,0.7102,199,0.9548,0.916,0.0989,314
CCAR1,0.7826,0.7098,69,0.9547,0.8967,0.0728,315
ATXN2,0.39,0.7096,100,0.9545,0.5421,-0.3196,316
INTS2,0.784,0.7081,125,0.9544,0.8978,0.0759,317
EIF5B,0.9444,0.708,108,0.9542,0.9926,0.2364,318
XPO5,0.8519,0.7077,108,0.9541,0.9507,0.1442,319
SRRM2,0.8586,0.7068,99,0.9539,0.9547,0.1518,320
NCOR1,0.8085,0.7067,47,0.9538,0.9154,0.1018,321
PSMD6,0.7561,0.7067,41,0.9537,0.8751,0.0494,322
BOD1L1,0.8305,0.7064,59,0.9535,0.9354,0.1241,323
EEF2,0.8243,0.7063,74,0.9534,0.9291,0.1181,324
GTF3A,0.75,0.7062,52,0.9532,0.8707,0.0438,325
PSMA3,0.6923,0.7059,91,0.9531,0.8244,-0.0136,326
SETD1B,0.3299,0.7051,97,0.9529,0.4789,-0.3752,327
EPC1,0.5341,0.705,88,0.9528,0.6799,-0.1709,328
NOL8,1.0,0.7048,59,0.9526,0.9999,0.2952,329
VPS72,0.64,0.7047,200,0.9525,0.7774,-0.0647,330
SIN3A,0.629,0.7043,62,0.9524,0.7665,-0.0753,331
PSMD1,0.7654,0.7041,81,0.9522,0.8829,0.0614,332
ZC3H18,0.7949,0.7039,78,0.9521,0.9051,0.091,333
SRSF6,0.7667,0.703,150,0.9519,0.8842,0.0637,334
DIDO1,0.8397,0.7026,156,0.9518,0.9425,0.1372,335
SSB,0.7946,0.7024,112,0.9516,0.9049,0.0922,336
LARP1,0.7339,0.7023,124,0.9515,0.8584,0.0316,337
RANBP3,0.5915,0.7018,71,0.9513,0.7326,-0.1103,338
DMAP1,0.7381,0.7017,84,0.9512,0.8615,0.0364,339
