gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
PPIC,0.7755,0.2589,98,0.2148,0.8918,0.5166,5439
MTHFSD,0.525,0.2589,80,0.2147,0.6717,0.2661,5440
SNX3,0.0851,0.2589,47,0.2146,0.1439,-0.1738,5441
CALCOCO1,0.1239,0.2589,113,0.2144,0.2009,-0.135,5442
SYNPO2,0.0208,0.2588,48,0.2143,0.0321,-0.238,5443
PYCR1,0.9123,0.2588,114,0.2141,0.9828,0.6535,5444
SFXN1,0.4769,0.2588,130,0.214,0.6297,0.2181,5445
ACSL1,0.14,0.2588,50,0.2138,0.2233,-0.1188,5446
ACE,0.0,0.2588,123,0.2137,0.0058,-0.2588,5447
MRPS6,0.2105,0.2587,76,0.2135,0.3205,-0.0481,5448
OPLAH,0.3476,0.2585,164,0.2134,0.4962,0.089,5449
TMEM63B,0.3113,0.2584,106,0.2133,0.4606,0.0529,5450
CDH6,0.1989,0.2583,186,0.2131,0.3046,-0.0593,5451
TPRN,0.0794,0.2583,63,0.213,0.1323,-0.1789,5452
HOOK1,0.5574,0.2582,61,0.2128,0.7021,0.2991,5453
SH3BGRL2,0.0702,0.2582,57,0.2127,0.1172,-0.188,5454
S100A6,0.1436,0.2581,195,0.2125,0.2291,-0.1145,5455
CRYZ,0.1167,0.258,60,0.2124,0.1899,-0.1413,5456
MTFMT,0.2105,0.258,57,0.2122,0.3205,-0.0475,5457
MARC1,0.306,0.258,183,0.2121,0.4551,0.048,5458
SH2D4A,0.4821,0.2579,56,0.212,0.6349,0.2242,5459
HPS4,0.1212,0.2578,66,0.2118,0.1961,-0.1366,5460
CHEK2,0.9706,0.2578,68,0.2117,0.999,0.7128,5461
NDUFS2,0.0199,0.2578,201,0.2115,0.0298,-0.2379,5462
C2orf76,0.1121,0.2577,107,0.2114,0.182,-0.1456,5463
RASAL1,0.6327,0.2577,98,0.2112,0.7701,0.375,5464
TAGLN2,0.31,0.2576,200,0.2111,0.4592,0.0524,5465
SPG21,0.1552,0.2576,58,0.2109,0.2471,-0.1024,5466
OPTN,0.1446,0.2576,83,0.2108,0.2307,-0.113,5467
HACL1,0.25,0.2574,48,0.2107,0.3758,-0.0074,5468
CORO2A,0.3621,0.2574,58,0.2105,0.5123,0.1047,5469
CKMT1A,0.4902,0.2573,51,0.2104,0.644,0.2329,5470
PRRC1,0.6863,0.2573,102,0.2102,0.8187,0.429,5471
TALDO1,0.5102,0.2572,49,0.2101,0.6622,0.253,5472
PDPR,0.3333,0.2571,96,0.2099,0.4822,0.0762,5473
DUSP23,0.4422,0.257,199,0.2098,0.5949,0.1852,5474
MRPL1,0.381,0.2569,63,0.2096,0.5318,0.124,5475
CMSS1,0.7876,0.2569,113,0.2095,0.9007,0.5307,5476
VLDLR,0.4643,0.2569,56,0.2094,0.6167,0.2074,5477
SVEP1,0.0517,0.2566,58,0.2092,0.0879,-0.2049,5478
NUDT12,0.1512,0.2564,86,0.2091,0.2423,-0.1053,5479
KANK2,0.0357,0.2563,84,0.2089,0.0596,-0.2206,5480
FES,0.1127,0.2563,71,0.2088,0.1831,-0.1437,5481
DOCK2,0.3571,0.2563,126,0.2086,0.5062,0.1008,5482
HSPA12B,0.0075,0.2563,133,0.2085,0.012,-0.2488,5483
DNASE2,0.5581,0.2563,86,0.2083,0.7028,0.3018,5484
DDX60L,0.3404,0.2562,47,0.2082,0.4911,0.0842,5485
CYP27A1,0.0122,0.2562,82,0.2081,0.018,-0.244,5486
CA4,0.0082,0.2562,122,0.2079,0.0124,-0.248,5487
EPS8,0.4412,0.2562,136,0.2078,0.5936,0.185,5488
EHD1,0.0,0.2561,92,0.2076,0.0058,-0.2561,5489
PODN,0.0758,0.256,66,0.2075,0.1274,-0.1802,5490
KRT18,0.2632,0.2559,114,0.2073,0.3947,0.0072,5491
SPINT2,0.72,0.2559,125,0.2072,0.8477,0.4641,5492
SUN2,0.1754,0.2558,57,0.207,0.2753,-0.0804,5493
PRPSAP2,0.4792,0.2558,48,0.2069,0.632,0.2234,5494
MRC1,0.0366,0.2557,82,0.2068,0.0616,-0.2192,5495
MRVI1,0.0847,0.2557,59,0.2066,0.1427,-0.171,5496
CAMKK2,0.1134,0.2557,97,0.2065,0.1847,-0.1423,5497
ARHGEF28,0.4819,0.2555,83,0.2063,0.6343,0.2264,5498
NFATC1,0.1923,0.2555,52,0.2062,0.2961,-0.0632,5499
TOR3A,0.617,0.2554,188,0.206,0.7559,0.3616,5500
ITGAM,0.3211,0.2554,109,0.2059,0.47,0.0657,5501
RAC2,0.2456,0.2553,57,0.2057,0.3699,-0.0097,5502
DENND2D,0.2623,0.2553,61,0.2056,0.3937,0.007,5503
PALM3,0.0581,0.2552,86,0.2055,0.0976,-0.197,5504
NEK6,0.6,0.2551,60,0.2053,0.7407,0.3449,5505
GLB1,0.1915,0.2551,47,0.2052,0.2945,-0.0636,5506
COA3,0.3364,0.255,107,0.205,0.4851,0.0814,5507
SYK,0.3833,0.2549,60,0.2049,0.5357,0.1284,5508
PRPH,0.0721,0.2549,111,0.2047,0.1211,-0.1829,5509
ABCG1,0.2424,0.2548,66,0.2046,0.3646,-0.0124,5510
MRPS34,0.4059,0.2548,101,0.2044,0.5559,0.1511,5511
GNPDA2,0.1176,0.2548,68,0.2043,0.1919,-0.1371,5512
CDC42EP5,0.1474,0.2547,95,0.2042,0.2353,-0.1074,5513
NEO1,0.1186,0.2547,59,0.204,0.193,-0.136,5514
C4orf33,0.2449,0.2546,49,0.2039,0.3683,-0.0097,5515
GPHN,0.1282,0.2546,78,0.2037,0.2072,-0.1264,5516
PSMF1,0.0902,0.2546,133,0.2036,0.1518,-0.1644,5517
CTH,0.0781,0.2544,64,0.2034,0.1307,-0.1763,5518
RHPN2,0.7121,0.2541,132,0.2033,0.8425,0.458,5519
LOXL3,0.3644,0.2541,118,0.2031,0.5144,0.1103,5520
RAB31,0.3737,0.2541,99,0.203,0.5256,0.1196,5521
C1R,0.1912,0.254,136,0.2029,0.2935,-0.0628,5522
DCLK1,0.3396,0.2538,53,0.2027,0.4899,0.0858,5523
DNAJC12,0.1471,0.2538,68,0.2026,0.2348,-0.1068,5524
ERBB3,0.2667,0.2537,120,0.2024,0.4012,0.013,5525
RALGPS2,0.4947,0.2537,188,0.2023,0.6483,0.241,5526
BCAT1,0.4342,0.2537,152,0.2021,0.5879,0.1805,5527
OSBPL5,0.32,0.2536,50,0.202,0.4694,0.0664,5528
SUN1,0.4305,0.2536,223,0.2018,0.5828,0.1769,5529
MCCC2,0.1529,0.2535,85,0.2017,0.2447,-0.1005,5530
MZB1,0.3504,0.2534,117,0.2016,0.4993,0.097,5531
HDAC10,0.4754,0.2534,61,0.2014,0.6287,0.222,5532
C11orf96,0.0312,0.2534,64,0.2013,0.0508,-0.2221,5533
C1RL,0.0809,0.2533,136,0.2011,0.1344,-0.1725,5534
ZFHX3,0.4516,0.2533,93,0.201,0.6048,0.1984,5535
TSPAN15,0.2174,0.2532,69,0.2008,0.3296,-0.0358,5536
CAV1,0.0918,0.2532,207,0.2007,0.1536,-0.1614,5537
GGACT,0.1159,0.2532,69,0.2005,0.1884,-0.1372,5538
GNE,0.8082,0.2531,73,0.2004,0.9151,0.5551,5539
TSPO,0.3966,0.2531,58,0.2003,0.5477,0.1434,5540
PSPH,0.3571,0.2531,224,0.2001,0.5062,0.104,5541
PPP1R14A,0.024,0.2528,125,0.2,0.0388,-0.2288,5542
DUS2,0.4688,0.2528,96,0.1998,0.6219,0.2159,5543
PFKFB3,0.8214,0.2527,84,0.1997,0.9267,0.5687,5544
VASN,0.1009,0.2527,109,0.1995,0.1679,-0.1518,5545
CD38,0.5574,0.2526,61,0.1994,0.7021,0.3048,5546
DBT,0.1111,0.2525,63,0.1992,0.1809,-0.1414,5547
S100A11,0.7824,0.2524,193,0.1991,0.8965,0.5299,5548
TRIM16,0.5435,0.2523,46,0.199,0.6896,0.2911,5549
STOML2,0.675,0.2522,80,0.1988,0.8075,0.4228,5550
PREP,0.4348,0.2522,46,0.1987,0.5882,0.1826,5551
PI4K2B,0.3158,0.2522,57,0.1985,0.4648,0.0636,5552
ADAP1,0.1757,0.2522,222,0.1984,0.2758,-0.0765,5553
GRB10,0.3258,0.2518,221,0.1982,0.4746,0.074,5554
ACTA1,0.0824,0.2518,182,0.1981,0.1374,-0.1694,5555
SFXN3,0.3509,0.2517,57,0.1979,0.4997,0.0992,5556
COL4A2,0.0375,0.2516,80,0.1978,0.063,-0.2141,5557
HSBP1,0.4471,0.2515,85,0.1977,0.6006,0.1955,5558
NANP,0.5973,0.2515,149,0.1975,0.7382,0.3459,5559
CYFIP2,0.1301,0.2514,123,0.1974,0.2089,-0.1213,5560
ACOT11,0.2647,0.2513,68,0.1972,0.3976,0.0134,5561
AGR2,0.2707,0.2513,229,0.1971,0.4054,0.0194,5562
GPD1,0.0265,0.2513,113,0.1969,0.0431,-0.2248,5563
INPP5D,0.3418,0.2513,79,0.1968,0.4919,0.0905,5564
PIP4K2B,0.114,0.2511,114,0.1967,0.1857,-0.1371,5565
MGLL,0.0744,0.251,121,0.1965,0.1254,-0.1766,5566
CAB39L,0.0,0.2508,48,0.1964,0.0058,-0.2508,5567
TYK2,0.25,0.2508,84,0.1962,0.3758,-0.0008,5568
CISD3,0.1491,0.2508,114,0.1961,0.239,-0.1016,5569
MAP1B,0.4419,0.2507,86,0.1959,0.5944,0.1911,5570
IDH3A,0.2258,0.2507,62,0.1958,0.3404,-0.0249,5571
SNX2,0.0412,0.2505,97,0.1956,0.0697,-0.2092,5572
GALK1,0.0726,0.2503,124,0.1955,0.1227,-0.1778,5573
MPDZ,0.0,0.2501,53,0.1954,0.0058,-0.2501,5574
MRPL51,0.2357,0.2501,140,0.1952,0.3559,-0.0144,5575
MRPL12,0.4957,0.25,115,0.1951,0.6493,0.2457,5576
CNDP2,0.3393,0.2498,56,0.1949,0.4895,0.0895,5577
SERPINI1,0.1899,0.2496,179,0.1948,0.2925,-0.0597,5578
EIF4EBP2,0.3088,0.2496,68,0.1946,0.4582,0.0592,5579
GTPBP1,0.5088,0.2495,57,0.1945,0.6607,0.2593,5580
RIN3,0.0482,0.2494,83,0.1943,0.0811,-0.2012,5581
TMEM177,0.0935,0.2491,107,0.1942,0.1556,-0.1557,5582
GOLGA7,0.5678,0.2491,118,0.1941,0.7114,0.3187,5583
DHRS1,0.1325,0.2488,83,0.1939,0.2126,-0.1163,5584
PLD2,0.2381,0.2488,42,0.1938,0.3588,-0.0107,5585
TACC1,0.0917,0.2487,120,0.1936,0.153,-0.1571,5586
MRPL52,0.1818,0.2487,88,0.1935,0.2838,-0.0669,5587
MICU2,0.537,0.2487,54,0.1933,0.6837,0.2883,5588
NIPSNAP3A,0.0833,0.2487,60,0.1932,0.1395,-0.1653,5589
TMEM134,0.3853,0.2485,109,0.193,0.5373,0.1368,5590
UQCR10,0.1884,0.2485,69,0.1929,0.2909,-0.0601,5591
TTC39A,0.2462,0.2483,65,0.1928,0.3711,-0.0022,5592
LIMS1,0.0189,0.2483,106,0.1926,0.0284,-0.2294,5593
RBFOX2,0.375,0.2481,56,0.1925,0.5268,0.1269,5594
SEC22A,0.7311,0.248,119,0.1923,0.8564,0.4831,5595
DOCK6,0.3012,0.248,83,0.1922,0.4482,0.0532,5596
FLYWCH2,0.5882,0.2479,102,0.192,0.7295,0.3404,5597
MCAM,0.0286,0.2478,70,0.1919,0.0463,-0.2192,5598
DAAM1,0.1724,0.2478,87,0.1917,0.2702,-0.0753,5599
AP3M1,0.0735,0.2477,68,0.1916,0.1241,-0.1741,5600
COBL,0.0364,0.2475,220,0.1915,0.0613,-0.2112,5601
PROS1,0.0442,0.2474,113,0.1913,0.0749,-0.2031,5602
COA5,0.1495,0.2472,107,0.1912,0.2395,-0.0977,5603
LRWD1,0.5794,0.2472,214,0.191,0.7211,0.3322,5604
MRPS7,0.3306,0.2472,124,0.1909,0.4796,0.0835,5605
NUDT3,0.1212,0.2471,99,0.1907,0.1961,-0.1259,5606
TRPM4,0.4045,0.2471,89,0.1906,0.5549,0.1574,5607
CKAP4,0.8911,0.2471,101,0.1904,0.9742,0.644,5608
TIMM8B,0.3429,0.2469,70,0.1903,0.4928,0.0959,5609
RNASEH2C,0.4021,0.2468,97,0.1902,0.5531,0.1553,5610
CHN2,0.0393,0.2468,229,0.19,0.0658,-0.2075,5611
CPPED1,0.1226,0.2467,106,0.1899,0.1981,-0.1241,5612
NME7,0.1795,0.2467,195,0.1897,0.2803,-0.0672,5613
CRMP1,0.0877,0.2465,57,0.1896,0.1481,-0.1588,5614
FAM171A1,0.0843,0.2465,83,0.1894,0.1419,-0.1622,5615
MOCS1,0.0,0.2465,102,0.1893,0.0058,-0.2465,5616
XPNPEP3,0.2833,0.2465,60,0.1891,0.423,0.0369,5617
DPP7,0.0952,0.2465,63,0.189,0.1587,-0.1512,5618
PLAU,0.7681,0.2463,69,0.1889,0.8847,0.5219,5619
ATOX1,0.3607,0.2462,122,0.1887,0.5107,0.1144,5620
TMOD2,0.0189,0.2462,53,0.1886,0.0284,-0.2273,5621
MRPS9,0.2453,0.2462,106,0.1884,0.3695,-0.0009,5622
CD151,0.26,0.2461,50,0.1883,0.3903,0.0139,5623
CMC2,0.2289,0.246,83,0.1881,0.3468,-0.0171,5624
TANC1,0.1495,0.2459,107,0.188,0.2395,-0.0964,5625
FBXL8,0.1667,0.2459,96,0.1878,0.2633,-0.0793,5626
RSU1,0.0125,0.2459,80,0.1877,0.0182,-0.2334,5627
GRAP2,0.05,0.2458,60,0.1876,0.0844,-0.1958,5628
CRTAC1,0.0,0.2457,58,0.1874,0.0058,-0.2457,5629
DYNLRB1,0.2606,0.2457,165,0.1873,0.3914,0.0149,5630
COMP,0.5417,0.2456,96,0.1871,0.6883,0.2961,5631
CNN1,0.0357,0.2454,84,0.187,0.0596,-0.2097,5632
DLG1,0.3018,0.2454,169,0.1868,0.4493,0.0563,5633
MYO18A,0.3558,0.2454,104,0.1867,0.5045,0.1104,5634
TP53I3,0.3421,0.2454,114,0.1865,0.4921,0.0967,5635
HMGCL,0.2295,0.2453,61,0.1864,0.3484,-0.0158,5636
GAN,0.6988,0.2453,83,0.1863,0.8301,0.4535,5637
PDLIM7,0.0846,0.2453,130,0.1861,0.1422,-0.1607,5638
GNB1L,0.5301,0.2453,83,0.186,0.6755,0.2848,5639
MYD88,0.6889,0.2452,45,0.1858,0.8209,0.4437,5640
USP13,0.2667,0.2452,180,0.1857,0.4012,0.0215,5641
PRDX6,0.085,0.2452,200,0.1855,0.1432,-0.1602,5642
PIP5K1C,0.027,0.2451,74,0.1854,0.0437,-0.2181,5643
S100A8,0.2938,0.2451,194,0.1852,0.4372,0.0487,5644
TTN,0.0561,0.2451,107,0.1851,0.0934,-0.189,5645
LY75,0.4245,0.245,106,0.185,0.5752,0.1796,5646
ATM,0.3944,0.2449,71,0.1848,0.5456,0.1495,5647
APMAP,0.6849,0.2448,146,0.1847,0.8171,0.4401,5648
NR2F2,0.1286,0.2448,70,0.1845,0.2076,-0.1163,5649
SUPT4H1,0.5965,0.2448,114,0.1844,0.7377,0.3517,5650
FBXW5,0.0952,0.2448,63,0.1842,0.1587,-0.1496,5651
DYSF,0.1092,0.2448,119,0.1841,0.1787,-0.1356,5652
IMPA1,0.2067,0.2448,150,0.1839,0.3146,-0.0381,5653
INPP1,0.165,0.2446,103,0.1838,0.2612,-0.0796,5654
FOLR1,0.1078,0.2446,102,0.1837,0.1759,-0.1367,5655
AKAP9,0.348,0.2445,227,0.1835,0.4971,0.1035,5656
TLR2,0.3878,0.2443,49,0.1834,0.5403,0.1434,5657
FCGR3A,0.245,0.2443,200,0.1832,0.3689,0.0007,5658
SYNM,0.0667,0.2443,75,0.1831,0.1112,-0.1776,5659
LYVE1,0.0345,0.2442,58,0.1829,0.0573,-0.2097,5660
ADPGK,0.3833,0.2442,60,0.1828,0.5357,0.1392,5661
MRPL28,0.398,0.2441,98,0.1826,0.5492,0.1538,5662
SLC4A1,0.0273,0.2441,110,0.1825,0.0444,-0.2168,5663
GGA2,0.1635,0.244,104,0.1824,0.2579,-0.0806,5664
ACSS3,0.1038,0.244,106,0.1822,0.1712,-0.1402,5665
SAR1B,0.2407,0.2438,108,0.1821,0.3616,-0.0031,5666
IFT74,0.24,0.2437,50,0.1819,0.361,-0.0037,5667
ACSS1,0.1507,0.2436,146,0.1818,0.2416,-0.0929,5668
SH2B1,0.1171,0.2435,111,0.1816,0.191,-0.1264,5669
TSTD1,0.209,0.2434,201,0.1815,0.3176,-0.0345,5670
CCL5,0.1275,0.2434,102,0.1813,0.2061,-0.1159,5671
ABHD4,0.2391,0.2433,92,0.1812,0.3601,-0.0042,5672
SAMD9L,0.3097,0.2433,226,0.1811,0.459,0.0664,5673
RAPH1,0.1684,0.2433,95,0.1809,0.2652,-0.0748,5674
EFNB2,0.1507,0.2432,73,0.1808,0.2416,-0.0926,5675
FAM98C,0.2109,0.2432,128,0.1806,0.3215,-0.0323,5676
PMM1,0.3667,0.2432,60,0.1805,0.5174,0.1235,5677
AIP,0.4954,0.2431,109,0.1803,0.649,0.2523,5678
ARRB2,0.2143,0.243,42,0.1802,0.3254,-0.0287,5679
OSBPL10,0.3404,0.243,47,0.18,0.4911,0.0974,5680
TWF2,0.2222,0.2429,45,0.1799,0.3364,-0.0207,5681
MYO10,0.3135,0.2428,185,0.1798,0.4624,0.0707,5682
AFAP1,0.65,0.2428,60,0.1796,0.7858,0.4072,5683
AUH,0.0328,0.2426,61,0.1795,0.053,-0.2098,5684
COMMD9,0.0308,0.2425,65,0.1793,0.0499,-0.2118,5685
EHHADH,0.2733,0.2425,172,0.1792,0.409,0.0308,5686
APOBEC3C,0.6552,0.2424,58,0.179,0.7907,0.4127,5687
OVCA2,0.2093,0.2424,43,0.1789,0.3184,-0.0331,5688
CXXC5,0.2881,0.2423,118,0.1787,0.4299,0.0458,5689
TMEM51,0.209,0.2423,67,0.1786,0.3176,-0.0333,5690
COMMD5,0.0595,0.2422,168,0.1785,0.1006,-0.1827,5691
COMMD1,0.0726,0.2422,124,0.1783,0.1227,-0.1696,5692
CD63,0.3448,0.242,116,0.1782,0.4948,0.1028,5693
CREG1,0.1179,0.2419,195,0.178,0.1923,-0.124,5694
IFITM3,0.2449,0.2419,49,0.1779,0.3683,0.003,5695
SERPINB10,0.2034,0.2419,59,0.1777,0.3101,-0.0385,5696
SCIN,0.3246,0.2419,228,0.1776,0.4734,0.0827,5697
RAB32,0.3,0.2418,50,0.1774,0.4453,0.0582,5698
FAM13A,0.3333,0.2418,54,0.1773,0.4822,0.0915,5699
LYRM9,0.0777,0.2418,103,0.1772,0.1299,-0.1641,5700
NUDT16L1,0.4259,0.2417,108,0.177,0.5767,0.1842,5701
MB,0.0517,0.2417,58,0.1769,0.0879,-0.19,5702
FAAH,0.1266,0.2417,79,0.1767,0.2038,-0.1151,5703
ANAPC16,0.1304,0.2417,69,0.1766,0.2095,-0.1112,5704
MFGE8,0.058,0.2417,69,0.1764,0.0969,-0.1837,5705
RTN4IP1,0.2708,0.2415,48,0.1763,0.4058,0.0293,5706
CES2,0.2421,0.2415,95,0.1761,0.364,0.0006,5707
AP5M1,0.0114,0.2413,88,0.176,0.0157,-0.2299,5708
GPX1,0.3111,0.2412,45,0.1759,0.4603,0.0699,5709
ACYP1,0.225,0.2412,80,0.1757,0.3393,-0.0162,5710
FARP1,0.0294,0.2412,68,0.1756,0.0471,-0.2117,5711
NEDD4L,0.3148,0.241,54,0.1754,0.4638,0.0738,5712
NDUFAF6,0.2545,0.2409,165,0.1753,0.3825,0.0136,5713
BOLA3,0.4083,0.2408,120,0.1751,0.5588,0.1676,5714
PTRH1,0.1935,0.2407,62,0.175,0.2978,-0.0471,5715
TEX264,0.5,0.2406,44,0.1748,0.6533,0.2594,5716
OSBPL3,0.7424,0.2405,229,0.1747,0.8654,0.5019,5717
DVL2,0.5909,0.2405,44,0.1746,0.7317,0.3504,5718
MGST2,0.0392,0.2405,51,0.1744,0.0654,-0.2013,5719
MAGI1,0.0476,0.2404,42,0.1743,0.0798,-0.1928,5720
PDXK,0.2174,0.2404,69,0.1741,0.3296,-0.023,5721
PTPRK,0.4,0.2404,50,0.174,0.5513,0.1596,5722
DERA,0.1343,0.2403,134,0.1738,0.2153,-0.106,5723
PHGDH,0.28,0.2403,75,0.1737,0.4184,0.0397,5724
PDXP,0.0357,0.2403,56,0.1735,0.0596,-0.2045,5725
ARHGEF10,0.069,0.2401,58,0.1734,0.1147,-0.1711,5726
MRPS22,0.2014,0.24,144,0.1733,0.308,-0.0386,5727
GMIP,0.4255,0.2399,94,0.1731,0.5762,0.1856,5728
TSPAN13,0.487,0.2399,230,0.173,0.6401,0.2471,5729
KRT2,0.1239,0.2398,113,0.1728,0.2009,-0.1159,5730
SBF1,0.2969,0.2398,64,0.1727,0.4415,0.0571,5731
TSPAN8,0.1154,0.2396,130,0.1725,0.1876,-0.1242,5732
RTKN,0.525,0.2395,120,0.1724,0.6717,0.2855,5733
ALDH1B1,0.4,0.2394,65,0.1722,0.5513,0.1606,5734
KIF13A,0.1122,0.2393,98,0.1721,0.1824,-0.127,5735
ACOX3,0.2143,0.2393,56,0.172,0.3254,-0.025,5736
ECHDC3,0.0941,0.2392,85,0.1718,0.1568,-0.1451,5737
MCAT,0.2931,0.239,58,0.1717,0.4363,0.0541,5738
CD180,0.3494,0.2389,83,0.1715,0.4978,0.1105,5739
SH3RF1,0.5,0.2389,48,0.1714,0.6533,0.2611,5740
OCLN,0.1446,0.2389,83,0.1712,0.2307,-0.0943,5741
SZT2,0.1765,0.2388,85,0.1711,0.2769,-0.0623,5742
APBB1IP,0.2759,0.2387,87,0.171,0.4134,0.0372,5743
TNFRSF12A,0.6154,0.2386,104,0.1708,0.754,0.3767,5744
CEACAM1,0.3939,0.2386,99,0.1707,0.5453,0.1553,5745
ODF2,0.0508,0.2386,59,0.1705,0.0865,-0.1877,5746
SPRYD7,0.3,0.2385,50,0.1704,0.4453,0.0615,5747
SULT1A3,0.0182,0.2382,110,0.1702,0.0271,-0.2201,5748
ACADM,0.05,0.2382,60,0.1701,0.0844,-0.1882,5749
SIK2,0.1127,0.238,71,0.1699,0.1831,-0.1253,5750
GPNMB,0.1397,0.2379,229,0.1698,0.2226,-0.0981,5751
LSS,0.2,0.2378,65,0.1697,0.3065,-0.0378,5752
NT5C,0.1613,0.2378,124,0.1695,0.2548,-0.0766,5753
CBR1,0.2055,0.2378,73,0.1694,0.3132,-0.0324,5754
WDR11,0.7313,0.2377,67,0.1692,0.8568,0.4936,5755
BAX,0.6517,0.2376,89,0.1691,0.7876,0.4141,5756
UEVLD,0.5,0.2376,60,0.1689,0.6533,0.2624,5757
DEFA3,0.2069,0.2374,58,0.1688,0.315,-0.0305,5758
ATXN7L3B,0.354,0.2374,113,0.1686,0.5022,0.1166,5759
LANCL1,0.0233,0.2372,86,0.1685,0.0365,-0.214,5760
FAM114A1,0.6269,0.2372,67,0.1684,0.7641,0.3897,5761
FGD3,0.1864,0.2369,59,0.1682,0.2891,-0.0505,5762
RAP2B,0.4286,0.2369,161,0.1681,0.5803,0.1916,5763
DUSP3,0.1376,0.2369,109,0.1679,0.2196,-0.0993,5764
BAG2,0.1959,0.2368,97,0.1678,0.3002,-0.0409,5765
EXOG,0.3111,0.2368,45,0.1676,0.4603,0.0744,5766
HAAO,0.0588,0.2367,119,0.1675,0.099,-0.1779,5767
CLEC16A,0.2636,0.2367,110,0.1673,0.3958,0.0269,5768
MTUS1,0.3818,0.2367,55,0.1672,0.5331,0.1451,5769
TTC9,0.45,0.2367,80,0.1671,0.6036,0.2133,5770
TCF4,0.1481,0.2366,54,0.1669,0.2371,-0.0885,5771
MSRB3,0.0328,0.2365,122,0.1668,0.053,-0.2037,5772
ULK3,0.2333,0.2364,60,0.1666,0.3537,-0.0031,5773
SEPHS1,0.3373,0.2364,83,0.1665,0.4865,0.101,5774
PLCG2,0.2651,0.2363,83,0.1663,0.3982,0.0287,5775
PRKCZ,0.0758,0.2363,66,0.1662,0.1274,-0.1605,5776
APOM,0.02,0.2362,100,0.166,0.0303,-0.2162,5777
PLEKHA6,0.2111,0.2362,199,0.1659,0.3217,-0.0251,5778
CARD11,0.5511,0.2361,225,0.1658,0.6968,0.315,5779
PTPRM,0.0388,0.2361,103,0.1656,0.0648,-0.1972,5780
MB21D2,0.3631,0.2359,168,0.1655,0.5134,0.1272,5781
LOX,0.4845,0.2359,97,0.1653,0.6374,0.2487,5782
DBI,0.1121,0.2358,107,0.1652,0.182,-0.1237,5783
TPM2,0.0361,0.2358,83,0.165,0.0609,-0.1996,5784
CHCHD10,0.36,0.2358,75,0.1649,0.5096,0.1242,5785
MXRA8,0.2535,0.2358,71,0.1647,0.3807,0.0178,5786
SPTA1,0.0606,0.2357,198,0.1646,0.102,-0.1751,5787
GNPDA1,0.0932,0.2356,118,0.1645,0.1555,-0.1423,5788
FABP4,0.02,0.2355,150,0.1643,0.0303,-0.2155,5789
FHIT,0.0256,0.2355,39,0.1642,0.0415,-0.2098,5790
BCL2L13,0.3158,0.2354,76,0.164,0.4648,0.0804,5791
COPS7A,0.0571,0.2354,140,0.1639,0.0958,-0.1783,5792
AGO1,0.1111,0.2354,72,0.1637,0.1809,-0.1242,5793
LIMA1,0.4649,0.2351,114,0.1636,0.6177,0.2298,5794
TFEB,0.2182,0.2351,110,0.1634,0.3314,-0.0169,5795
S100A10,0.057,0.2351,193,0.1633,0.0954,-0.1781,5796
COL6A2,0.125,0.235,64,0.1632,0.2021,-0.11,5797
ABCC3,0.4839,0.235,124,0.163,0.6362,0.2489,5798
NEDD4,0.2,0.2349,55,0.1629,0.3065,-0.0349,5799
NR2C2AP,0.7083,0.2348,96,0.1627,0.8384,0.4735,5800
AUP1,0.839,0.2348,118,0.1626,0.9422,0.6042,5801
MYH11,0.0096,0.2348,104,0.1624,0.0133,-0.2252,5802
CD36,0.0545,0.2347,220,0.1623,0.0915,-0.1801,5803
HID1,0.2314,0.2346,121,0.1621,0.3511,-0.0032,5804
HIBCH,0.0583,0.2345,103,0.162,0.098,-0.1763,5805
PCBD1,0.0882,0.2344,68,0.1619,0.1489,-0.1462,5806
FBLN7,0.0571,0.2344,105,0.1617,0.0958,-0.1773,5807
AUTS2,0.707,0.2343,215,0.1616,0.8368,0.4727,5808
RASSF5,0.2698,0.2342,189,0.1614,0.4047,0.0357,5809
ZNRF2,0.4148,0.234,229,0.1613,0.5657,0.1808,5810
SDCBP,0.1037,0.2339,135,0.1611,0.171,-0.1302,5811
AKAP1,0.6106,0.2339,113,0.161,0.7504,0.3768,5812
MFSD6,0.3762,0.2338,101,0.1608,0.5279,0.1425,5813
SLC25A24,0.2581,0.2337,62,0.1607,0.3877,0.0243,5814
MYO1G,0.3139,0.2337,223,0.1606,0.4629,0.0802,5815
APRT,0.6329,0.2336,79,0.1604,0.7706,0.3993,5816
CFH,0.0484,0.2335,186,0.1603,0.0816,-0.1851,5817
KANK1,0.3962,0.2335,53,0.1601,0.547,0.1627,5818
KYNU,0.3232,0.2335,99,0.16,0.4722,0.0897,5819
CAB39,0.122,0.2334,82,0.1598,0.1972,-0.1115,5820
FIBP,0.1122,0.2334,98,0.1597,0.1824,-0.1211,5821
ITPA,0.7143,0.2332,133,0.1595,0.8443,0.4811,5822
NT5C3B,0.3304,0.2331,112,0.1594,0.4793,0.0972,5823
FAM49A,0.0354,0.233,113,0.1593,0.0586,-0.1976,5824
CDH11,0.3299,0.233,97,0.1591,0.4789,0.0969,5825
TSC22D4,0.3348,0.2329,221,0.159,0.4845,0.102,5826
PDHB,0.0,0.2328,42,0.1588,0.0058,-0.2328,5827
