gene,transmissibility,n_amplified_cases,n_rows,meets_primary_20,meets_relaxed_10
ATP11A,0.33766233766233766,77,77,True,True
ATP11B,0.6536312849162011,179,179,True,True
ATP13A1,0.6276595744680851,94,94,True,True
ATP13A3,0.6845238095238095,168,168,True,True
ATP1A1,0.13846153846153847,65,65,True,True
ATP1B1,0.18461538461538463,195,195,True,True
ATP1B3,0.5,148,148,True,True
ATP2A2,0.81,100,100,True,True
ATP2A3,0.21428571428571427,42,42,True,True
ATP2B1,0.37254901960784315,102,102,True,True
ATP2B4,0.22959183673469388,196,196,True,True
ATP2C1,0.6821705426356589,129,129,True,True
ATP6V0A1,0.12727272727272726,110,110,True,True
ATP6V0A2,0.4270833333333333,96,96,True,True
ATP6V0C,0.1134020618556701,97,97,True,True
ATP6V0D1,0.08421052631578947,95,95,True,True
ATP6V1A,0.02654867256637168,113,113,True,True
ATP6V1B2,0.017543859649122806,57,57,True,True
ATP6V1C1,0.12352941176470589,170,170,True,True
ATP6V1D,0.025974025974025976,77,77,True,True
ATP6V1E1,0.013157894736842105,76,76,True,True
ATP6V1F,0.03414634146341464,205,205,True,True
ATP6V1G1,0.09259259259259259,54,54,True,True
ATP6V1H,0.014925373134328358,134,134,True,True
ATP8A1,0.07575757575757576,66,66,True,True
ATP9A,0.5,152,152,True,True
ATP9B,0.3269230769230769,52,52,True,True
ATPAF1,0.2948717948717949,78,78,True,True
ATPAF2,0.10869565217391304,46,46,True,True
ATR,0.6351351351351351,148,148,True,True
ATRAID,0.5391304347826087,115,115,True,True
ATRN,0.09022556390977443,133,133,True,True
ATXN1,0.40816326530612246,98,98,True,True
ATXN10,0.7321428571428571,56,56,True,True
ATXN1L,0.25773195876288657,97,97,True,True
ATXN2,0.39,100,100,True,True
ATXN2L,0.9459459459459459,111,111,True,True
ATXN3,0.39759036144578314,83,83,True,True
ATXN7,0.6585365853658537,41,41,True,True
ATXN7L3B,0.35398230088495575,113,113,True,True
AUH,0.03278688524590164,61,61,True,True
AUP1,0.8389830508474576,118,118,True,True
AUTS2,0.7069767441860465,215,215,True,True
AVEN,0.5714285714285714,49,49,True,True
AVL9,0.6563876651982379,227,227,True,True
AZGP1,0.08597285067873303,221,221,True,True
AZI2,0.041666666666666664,48,48,True,True
AZU1,0.21052631578947367,76,76,True,True
B2M,0.24489795918367346,49,49,True,True
B3GAT3,0.5822784810126582,79,79,True,True
B4GALT1,0.7721518987341772,79,79,True,True
B4GALT4,0.6779661016949152,118,118,True,True
B4GAT1,0.07,100,100,True,True
BABAM1,0.26595744680851063,94,94,True,True
BAD,0.18604651162790697,86,86,True,True
BAG1,0.3950617283950617,81,81,True,True
BAG2,0.1958762886597938,97,97,True,True
BAG3,0.36507936507936506,63,63,True,True
BAG4,0.6206896551724138,116,116,True,True
BAG5,0.6373626373626373,91,91,True,True
BAG6,0.56,100,100,True,True
BAIAP2,0.25217391304347825,115,115,True,True
BAK1,0.4845360824742268,97,97,True,True
BANF1,0.1836734693877551,98,98,True,True
